Activity,Period Start,Month,Year,Period Length,Target Response Days,Average Days to Complete Activity,Total Completed Requests,Period
Alley Grading-Unimproved,1/25/2016,1,2016,Week,180,25.02,2,01/25/2016 - 01/31/2016
Alley Grading-Unimproved,1/18/2016,1,2016,Week,180,1,3,01/18/2016 - 01/24/2016
Alley Grading-Unimproved,1/4/2016,1,2016,Week,180,359.55,3,01/04/2016 - 01/10/2016
Alley Grading-Unimproved,12/21/2015,12,2015,Week,180,6.66,3,12/21/2015 - 12/27/2015
Alley Grading-Unimproved,12/7/2015,12,2015,Week,180,1,1,12/07/2015 - 12/13/2015
Alley Grading-Unimproved,11/30/2015,11,2015,Week,180,1,1,11/30/2015 - 12/06/2015
Alley Grading-Unimproved,11/23/2015,11,2015,Week,180,110.96,2,11/23/2015 - 11/29/2015
Alley Grading-Unimproved,10/19/2015,10,2015,Week,180,436.7,12,10/19/2015 - 10/25/2015
Alley Grading-Unimproved,10/12/2015,10,2015,Week,180,21.92,1,10/12/2015 - 10/18/2015
Alley Grading-Unimproved,9/14/2015,9,2015,Week,180,440.65,2,09/14/2015 - 09/20/2015
Alley Grading-Unimproved,8/3/2015,8,2015,Week,180,1,1,08/03/2015 - 08/09/2015
Alley Grading-Unimproved,7/13/2015,7,2015,Week,180,14.11,5,07/13/2015 - 07/19/2015
Alley Grading-Unimproved,7/6/2015,7,2015,Week,180,1,1,07/06/2015 - 07/12/2015
Alley Grading-Unimproved,6/15/2015,6,2015,Week,180,73.12,1,06/15/2015 - 06/21/2015
Alley Grading-Unimproved,6/8/2015,6,2015,Week,180,328.99,1,06/08/2015 - 06/14/2015
Alley Grading-Unimproved,6/1/2015,6,2015,Week,180,174.77,16,06/01/2015 - 06/07/2015
Alley Grading-Unimproved,5/25/2015,5,2015,Week,180,456.82,16,05/25/2015 - 05/31/2015
Alley Grading-Unimproved,5/18/2015,5,2015,Week,180,115.51,7,05/18/2015 - 05/24/2015
Alley Grading-Unimproved,5/4/2015,5,2015,Week,180,7.87,1,05/04/2015 - 05/10/2015
Alley Grading-Unimproved,3/16/2015,3,2015,Week,180,409.36,3,03/16/2015 - 03/22/2015
Alley Grading-Unimproved,1/12/2015,1,2015,Week,180,120.1,2,01/12/2015 - 01/18/2015
Alley Grading-Unimproved,12/8/2014,12,2014,Week,180,698.98,1,12/08/2014 - 12/14/2014
Alley Grading-Unimproved,11/24/2014,11,2014,Week,180,124.08,3,11/24/2014 - 11/30/2014
Alley Grading-Unimproved,11/17/2014,11,2014,Week,180,1,1,11/17/2014 - 11/23/2014
Alley Grading-Unimproved,11/10/2014,11,2014,Week,180,539.93,3,11/10/2014 - 11/16/2014
Alley Grading-Unimproved,10/27/2014,10,2014,Week,180,401.8,2,10/27/2014 - 11/02/2014
Alley Grading-Unimproved,10/20/2014,10,2014,Week,180,6.1,1,10/20/2014 - 10/26/2014
Alley Grading-Unimproved,7/21/2014,7,2014,Week,180,1,1,07/21/2014 - 07/27/2014
Alley Grading-Unimproved,6/23/2014,6,2014,Week,180,4.82,1,06/23/2014 - 06/29/2014
Alley Grading-Unimproved,12/30/2013,12,2013,Week,180,12.93,1,12/30/2013 - 01/05/2014
Alley Grading-Unimproved,12/9/2013,12,2013,Week,180,1,1,12/09/2013 - 12/15/2013
Alley Grading-Unimproved,12/2/2013,12,2013,Week,180,1,1,12/02/2013 - 12/08/2013
Alley Grading-Unimproved,11/25/2013,11,2013,Week,180,1,2,11/25/2013 - 12/01/2013
Alley Grading-Unimproved,11/18/2013,11,2013,Week,180,179.76,10,11/18/2013 - 11/24/2013
Alley Grading-Unimproved,11/11/2013,11,2013,Week,180,6.02,1,11/11/2013 - 11/17/2013
Alley Grading-Unimproved,11/4/2013,11,2013,Week,180,291.12,4,11/04/2013 - 11/10/2013
Alley Grading-Unimproved,10/28/2013,10,2013,Week,180,227.09,13,10/28/2013 - 11/03/2013
Alley Grading-Unimproved,10/21/2013,10,2013,Week,180,5.01,1,10/21/2013 - 10/27/2013
Alley Grading-Unimproved,10/7/2013,10,2013,Week,180,447.83,6,10/07/2013 - 10/13/2013
Alley Grading-Unimproved,9/30/2013,9,2013,Week,180,531.17,14,09/30/2013 - 10/06/2013
Alley Grading-Unimproved,9/23/2013,9,2013,Week,180,627.98,13,09/23/2013 - 09/29/2013
Alley Grading-Unimproved,9/16/2013,9,2013,Week,180,567.89,46,09/16/2013 - 09/22/2013
Alley Grading-Unimproved,8/19/2013,8,2013,Week,180,1,1,08/19/2013 - 08/25/2013
Alley Grading-Unimproved,5/20/2013,5,2013,Week,180,389.21,18,05/20/2013 - 05/26/2013
Alley Grading-Unimproved,5/13/2013,5,2013,Week,180,374.03,39,05/13/2013 - 05/19/2013
Alley Grading-Unimproved,4/29/2013,4,2013,Week,180,85.99,1,04/29/2013 - 05/05/2013
Alley Grading-Unimproved,3/25/2013,3,2013,Week,180,652.84,1,03/25/2013 - 03/31/2013
Alley Grading-Unimproved,3/18/2013,3,2013,Week,180,1,1,03/18/2013 - 03/24/2013
Alley Grading-Unimproved,2/25/2013,2,2013,Week,180,308.26,3,02/25/2013 - 03/03/2013
Alley Grading-Unimproved,2/11/2013,2,2013,Week,180,1,1,02/11/2013 - 02/17/2013
Alley Grading-Unimproved,1/14/2013,1,2013,Week,180,398.86,13,01/14/2013 - 01/20/2013
Alley Grading-Unimproved,1/7/2013,1,2013,Week,180,258.67,26,01/07/2013 - 01/13/2013
Alley Grading-Unimproved,12/24/2012,12,2012,Week,180,302.16,28,12/24/2012 - 12/30/2012
Alley Grading-Unimproved,11/19/2012,11,2012,Week,180,1,1,11/19/2012 - 11/25/2012
Alley Grading-Unimproved,10/1/2012,10,2012,Week,180,348.19,8,10/01/2012 - 10/07/2012
Alley Grading-Unimproved,8/27/2012,8,2012,Week,180,319.41,26,08/27/2012 - 09/02/2012
Alley Grading-Unimproved,7/30/2012,7,2012,Week,180,339.96,12,07/30/2012 - 08/05/2012
Alley Grading-Unimproved,7/9/2012,7,2012,Week,180,114.07,4,07/09/2012 - 07/15/2012
Alley Grading-Unimproved,1/2/2012,1,2012,Week,180,1.17,1,01/02/2012 - 01/08/2012
Alley Grading-Unimproved,12/26/2011,12,2011,Week,180,67.85,3,12/26/2011 - 01/01/2012
Alley Grading-Unimproved,11/7/2011,11,2011,Week,180,36.96,1,11/07/2011 - 11/13/2011
Alley Grading-Unimproved,6/13/2011,6,2011,Week,180,7,4,06/13/2011 - 06/19/2011
Alley Light Out,1/25/2016,1,2016,Week,30,37.97,280,01/25/2016 - 01/31/2016
Alley Light Out,1/18/2016,1,2016,Week,30,22.39,136,01/18/2016 - 01/24/2016
Alley Light Out,1/11/2016,1,2016,Week,30,27.72,381,01/11/2016 - 01/17/2016
Alley Light Out,1/4/2016,1,2016,Week,30,42.84,435,01/04/2016 - 01/10/2016
Alley Light Out,12/28/2015,12,2015,Week,30,58.8,158,12/28/2015 - 01/03/2016
Alley Light Out,12/21/2015,12,2015,Week,30,52.06,150,12/21/2015 - 12/27/2015
Alley Light Out,12/14/2015,12,2015,Week,30,37.61,447,12/14/2015 - 12/20/2015
Alley Light Out,12/7/2015,12,2015,Week,30,43.32,201,12/07/2015 - 12/13/2015
Alley Light Out,11/30/2015,11,2015,Week,30,17.52,407,11/30/2015 - 12/06/2015
Alley Light Out,11/23/2015,11,2015,Week,30,18.41,69,11/23/2015 - 11/29/2015
Alley Light Out,11/16/2015,11,2015,Week,30,23.63,268,11/16/2015 - 11/22/2015
Alley Light Out,11/9/2015,11,2015,Week,30,30.25,373,11/09/2015 - 11/15/2015
Alley Light Out,11/2/2015,11,2015,Week,30,20.58,405,11/02/2015 - 11/08/2015
Alley Light Out,10/26/2015,10,2015,Week,30,21.11,488,10/26/2015 - 11/01/2015
Alley Light Out,10/19/2015,10,2015,Week,30,13.53,431,10/19/2015 - 10/25/2015
Alley Light Out,10/12/2015,10,2015,Week,30,30.52,327,10/12/2015 - 10/18/2015
Alley Light Out,10/5/2015,10,2015,Week,30,37.82,126,10/05/2015 - 10/11/2015
Alley Light Out,9/28/2015,9,2015,Week,30,40.96,862,09/28/2015 - 10/04/2015
Alley Light Out,9/21/2015,9,2015,Week,30,22.92,378,09/21/2015 - 09/27/2015
Alley Light Out,9/14/2015,9,2015,Week,30,32.04,372,09/14/2015 - 09/20/2015
Alley Light Out,9/7/2015,9,2015,Week,30,28.3,178,09/07/2015 - 09/13/2015
Alley Light Out,8/31/2015,8,2015,Week,30,37.85,943,08/31/2015 - 09/06/2015
Alley Light Out,8/24/2015,8,2015,Week,30,24.39,326,08/24/2015 - 08/30/2015
Alley Light Out,8/17/2015,8,2015,Week,30,47.78,204,08/17/2015 - 08/23/2015
Alley Light Out,8/10/2015,8,2015,Week,30,18.42,184,08/10/2015 - 08/16/2015
Alley Light Out,8/3/2015,8,2015,Week,30,25.01,86,08/03/2015 - 08/09/2015
Alley Light Out,7/27/2015,7,2015,Week,30,40.67,179,07/27/2015 - 08/02/2015
Alley Light Out,7/20/2015,7,2015,Week,30,23.52,187,07/20/2015 - 07/26/2015
Alley Light Out,7/13/2015,7,2015,Week,30,13.62,159,07/13/2015 - 07/19/2015
Alley Light Out,7/6/2015,7,2015,Week,30,9.87,111,07/06/2015 - 07/12/2015
Alley Light Out,6/29/2015,6,2015,Week,30,13.22,146,06/29/2015 - 07/05/2015
Alley Light Out,6/22/2015,6,2015,Week,30,30.54,450,06/22/2015 - 06/28/2015
Alley Light Out,6/15/2015,6,2015,Week,30,7.85,112,06/15/2015 - 06/21/2015
Alley Light Out,6/8/2015,6,2015,Week,30,13.25,118,06/08/2015 - 06/14/2015
Alley Light Out,6/1/2015,6,2015,Week,30,23.81,377,06/01/2015 - 06/07/2015
Alley Light Out,5/25/2015,5,2015,Week,30,5.1,59,05/25/2015 - 05/31/2015
Alley Light Out,5/18/2015,5,2015,Week,30,5.15,162,05/18/2015 - 05/24/2015
Alley Light Out,5/11/2015,5,2015,Week,30,33.29,506,05/11/2015 - 05/17/2015
Alley Light Out,5/4/2015,5,2015,Week,30,21.26,372,05/04/2015 - 05/10/2015
Alley Light Out,4/27/2015,4,2015,Week,30,17.52,323,04/27/2015 - 05/03/2015
Alley Light Out,4/20/2015,4,2015,Week,30,5.23,114,04/20/2015 - 04/26/2015
Alley Light Out,4/13/2015,4,2015,Week,30,25.68,459,04/13/2015 - 04/19/2015
Alley Light Out,4/6/2015,4,2015,Week,30,8.14,112,04/06/2015 - 04/12/2015
Alley Light Out,3/30/2015,3,2015,Week,30,11.78,155,03/30/2015 - 04/05/2015
Alley Light Out,3/23/2015,3,2015,Week,30,23.75,484,03/23/2015 - 03/29/2015
Alley Light Out,3/16/2015,3,2015,Week,30,7.72,206,03/16/2015 - 03/22/2015
Alley Light Out,3/9/2015,3,2015,Week,30,26.87,472,03/09/2015 - 03/15/2015
Alley Light Out,3/2/2015,3,2015,Week,30,9.31,49,03/02/2015 - 03/08/2015
Alley Light Out,2/23/2015,2,2015,Week,30,7.89,157,02/23/2015 - 03/01/2015
Alley Light Out,2/16/2015,2,2015,Week,30,23.69,454,02/16/2015 - 02/22/2015
Alley Light Out,2/9/2015,2,2015,Week,30,12.77,174,02/09/2015 - 02/15/2015
Alley Light Out,2/2/2015,2,2015,Week,30,12.02,32,02/02/2015 - 02/08/2015
Alley Light Out,1/26/2015,1,2015,Week,30,11.88,128,01/26/2015 - 02/01/2015
Alley Light Out,1/19/2015,1,2015,Week,30,29.67,614,01/19/2015 - 01/25/2015
Alley Light Out,1/12/2015,1,2015,Week,30,25.56,154,01/12/2015 - 01/18/2015
Alley Light Out,1/5/2015,1,2015,Week,30,38.48,763,01/05/2015 - 01/11/2015
Alley Light Out,12/29/2014,12,2014,Week,30,14.22,54,12/29/2014 - 01/04/2015
Alley Light Out,12/22/2014,12,2014,Week,30,13.31,28,12/22/2014 - 12/28/2014
Alley Light Out,12/15/2014,12,2014,Week,30,9.88,125,12/15/2014 - 12/21/2014
Alley Light Out,12/8/2014,12,2014,Week,30,7.65,145,12/08/2014 - 12/14/2014
Alley Light Out,12/1/2014,12,2014,Week,30,24.49,220,12/01/2014 - 12/07/2014
Alley Light Out,11/24/2014,11,2014,Week,30,14.04,89,11/24/2014 - 11/30/2014
Alley Light Out,11/17/2014,11,2014,Week,30,19.73,368,11/17/2014 - 11/23/2014
Alley Light Out,11/10/2014,11,2014,Week,30,17.24,206,11/10/2014 - 11/16/2014
Alley Light Out,11/3/2014,11,2014,Week,30,25.19,643,11/03/2014 - 11/09/2014
Alley Light Out,10/27/2014,10,2014,Week,30,26.23,371,10/27/2014 - 11/02/2014
Alley Light Out,10/20/2014,10,2014,Week,30,26.42,375,10/20/2014 - 10/26/2014
Alley Light Out,10/13/2014,10,2014,Week,30,29.47,267,10/13/2014 - 10/19/2014
Alley Light Out,10/6/2014,10,2014,Week,30,38.05,615,10/06/2014 - 10/12/2014
Alley Light Out,9/29/2014,9,2014,Week,30,33.4,243,09/29/2014 - 10/05/2014
Alley Light Out,9/22/2014,9,2014,Week,30,39.47,504,09/22/2014 - 09/28/2014
Alley Light Out,9/15/2014,9,2014,Week,30,20.38,209,09/15/2014 - 09/21/2014
Alley Light Out,9/8/2014,9,2014,Week,30,14.4,187,09/08/2014 - 09/14/2014
Alley Light Out,9/1/2014,9,2014,Week,30,19.98,40,09/01/2014 - 09/07/2014
Alley Light Out,8/25/2014,8,2014,Week,30,32.89,635,08/25/2014 - 08/31/2014
Alley Light Out,8/18/2014,8,2014,Week,30,16.11,248,08/18/2014 - 08/24/2014
Alley Light Out,8/11/2014,8,2014,Week,30,9.9,134,08/11/2014 - 08/17/2014
Alley Light Out,8/4/2014,8,2014,Week,30,12.01,186,08/04/2014 - 08/10/2014
Alley Light Out,7/28/2014,7,2014,Week,30,38.24,658,07/28/2014 - 08/03/2014
Alley Light Out,7/21/2014,7,2014,Week,30,9.93,152,07/21/2014 - 07/27/2014
Alley Light Out,7/14/2014,7,2014,Week,30,22.13,303,07/14/2014 - 07/20/2014
Alley Light Out,7/7/2014,7,2014,Week,30,18.16,240,07/07/2014 - 07/13/2014
Alley Light Out,6/30/2014,6,2014,Week,30,12.04,75,06/30/2014 - 07/06/2014
Alley Light Out,6/23/2014,6,2014,Week,30,21.54,212,06/23/2014 - 06/29/2014
Alley Light Out,6/16/2014,6,2014,Week,30,12.25,137,06/16/2014 - 06/22/2014
Alley Light Out,6/9/2014,6,2014,Week,30,29.85,408,06/09/2014 - 06/15/2014
Alley Light Out,6/2/2014,6,2014,Week,30,17.59,149,06/02/2014 - 06/08/2014
Alley Light Out,5/26/2014,5,2014,Week,30,16.43,153,05/26/2014 - 06/01/2014
Alley Light Out,5/19/2014,5,2014,Week,30,15.6,166,05/19/2014 - 05/25/2014
Alley Light Out,5/12/2014,5,2014,Week,30,22.44,179,05/12/2014 - 05/18/2014
Alley Light Out,5/5/2014,5,2014,Week,30,28.62,461,05/05/2014 - 05/11/2014
Alley Light Out,4/28/2014,4,2014,Week,30,20.52,249,04/28/2014 - 05/04/2014
Alley Light Out,4/21/2014,4,2014,Week,30,27.2,255,04/21/2014 - 04/27/2014
Alley Light Out,4/14/2014,4,2014,Week,30,18.35,111,04/14/2014 - 04/20/2014
Alley Light Out,4/7/2014,4,2014,Week,30,29.36,391,04/07/2014 - 04/13/2014
Alley Light Out,3/31/2014,3,2014,Week,30,17.93,210,03/31/2014 - 04/06/2014
Alley Light Out,3/24/2014,3,2014,Week,30,20.51,309,03/24/2014 - 03/30/2014
Alley Light Out,3/17/2014,3,2014,Week,30,31.96,141,03/17/2014 - 03/23/2014
Alley Light Out,3/10/2014,3,2014,Week,30,18.4,153,03/10/2014 - 03/16/2014
Alley Light Out,3/3/2014,3,2014,Week,30,23.32,528,03/03/2014 - 03/09/2014
Alley Light Out,2/24/2014,2,2014,Week,30,22.27,215,02/24/2014 - 03/02/2014
Alley Light Out,2/17/2014,2,2014,Week,30,41.42,366,02/17/2014 - 02/23/2014
Alley Light Out,2/10/2014,2,2014,Week,30,19.86,84,02/10/2014 - 02/16/2014
Alley Light Out,2/3/2014,2,2014,Week,30,32.83,120,02/03/2014 - 02/09/2014
Alley Light Out,1/27/2014,1,2014,Week,30,45.51,170,01/27/2014 - 02/02/2014
Alley Light Out,1/20/2014,1,2014,Week,30,33.87,313,01/20/2014 - 01/26/2014
Alley Light Out,1/13/2014,1,2014,Week,30,15.3,68,01/13/2014 - 01/19/2014
Alley Light Out,1/6/2014,1,2014,Week,30,15.32,53,01/06/2014 - 01/12/2014
Alley Light Out,12/30/2013,12,2013,Week,30,14.21,59,12/30/2013 - 01/05/2014
Alley Light Out,12/23/2013,12,2013,Week,30,11.68,18,12/23/2013 - 12/29/2013
Alley Light Out,12/16/2013,12,2013,Week,30,23.99,131,12/16/2013 - 12/22/2013
Alley Light Out,12/9/2013,12,2013,Week,30,15.88,161,12/09/2013 - 12/15/2013
Alley Light Out,12/2/2013,12,2013,Week,30,14.46,219,12/02/2013 - 12/08/2013
Alley Light Out,11/25/2013,11,2013,Week,30,13.27,141,11/25/2013 - 12/01/2013
Alley Light Out,11/18/2013,11,2013,Week,30,12.69,147,11/18/2013 - 11/24/2013
Alley Light Out,11/11/2013,11,2013,Week,30,7.46,107,11/11/2013 - 11/17/2013
Alley Light Out,11/4/2013,11,2013,Week,30,6.94,127,11/04/2013 - 11/10/2013
Alley Light Out,10/28/2013,10,2013,Week,30,13.76,357,10/28/2013 - 11/03/2013
Alley Light Out,10/21/2013,10,2013,Week,30,18.42,520,10/21/2013 - 10/27/2013
Alley Light Out,10/14/2013,10,2013,Week,30,21.03,251,10/14/2013 - 10/20/2013
Alley Light Out,10/7/2013,10,2013,Week,30,16.77,235,10/07/2013 - 10/13/2013
Alley Light Out,9/30/2013,9,2013,Week,30,16.31,131,09/30/2013 - 10/06/2013
Alley Light Out,9/23/2013,9,2013,Week,30,6.62,70,09/23/2013 - 09/29/2013
Alley Light Out,9/16/2013,9,2013,Week,30,16.65,603,09/16/2013 - 09/22/2013
Alley Light Out,9/9/2013,9,2013,Week,30,11.82,169,09/09/2013 - 09/15/2013
Alley Light Out,9/2/2013,9,2013,Week,30,5.35,53,09/02/2013 - 09/08/2013
Alley Light Out,8/26/2013,8,2013,Week,30,16.53,258,08/26/2013 - 09/01/2013
Alley Light Out,8/19/2013,8,2013,Week,30,12.16,213,08/19/2013 - 08/25/2013
Alley Light Out,8/12/2013,8,2013,Week,30,9.28,229,08/12/2013 - 08/18/2013
Alley Light Out,8/5/2013,8,2013,Week,30,12.7,361,08/05/2013 - 08/11/2013
Alley Light Out,7/29/2013,7,2013,Week,30,11.55,197,07/29/2013 - 08/04/2013
Alley Light Out,7/22/2013,7,2013,Week,30,9.96,83,07/22/2013 - 07/28/2013
Alley Light Out,7/15/2013,7,2013,Week,30,9.07,149,07/15/2013 - 07/21/2013
Alley Light Out,7/8/2013,7,2013,Week,30,15.12,576,07/08/2013 - 07/14/2013
Alley Light Out,7/1/2013,7,2013,Week,30,7.11,39,07/01/2013 - 07/07/2013
Alley Light Out,6/24/2013,6,2013,Week,30,7.28,119,06/24/2013 - 06/30/2013
Alley Light Out,6/17/2013,6,2013,Week,30,4.81,155,06/17/2013 - 06/23/2013
Alley Light Out,6/10/2013,6,2013,Week,30,9.48,269,06/10/2013 - 06/16/2013
Alley Light Out,6/3/2013,6,2013,Week,30,5.91,190,06/03/2013 - 06/09/2013
Alley Light Out,5/27/2013,5,2013,Week,30,8.98,95,05/27/2013 - 06/02/2013
Alley Light Out,5/20/2013,5,2013,Week,30,7.69,217,05/20/2013 - 05/26/2013
Alley Light Out,5/13/2013,5,2013,Week,30,8.08,300,05/13/2013 - 05/19/2013
Alley Light Out,5/6/2013,5,2013,Week,30,8.38,323,05/06/2013 - 05/12/2013
Alley Light Out,4/29/2013,4,2013,Week,30,8.54,319,04/29/2013 - 05/05/2013
Alley Light Out,4/22/2013,4,2013,Week,30,3.64,157,04/22/2013 - 04/28/2013
Alley Light Out,4/15/2013,4,2013,Week,30,5.04,120,04/15/2013 - 04/21/2013
Alley Light Out,4/8/2013,4,2013,Week,30,3.99,240,04/08/2013 - 04/14/2013
Alley Light Out,4/1/2013,4,2013,Week,30,9.16,335,04/01/2013 - 04/07/2013
Alley Light Out,3/25/2013,3,2013,Week,30,9.91,212,03/25/2013 - 03/31/2013
Alley Light Out,3/18/2013,3,2013,Week,30,9.47,200,03/18/2013 - 03/24/2013
Alley Light Out,3/11/2013,3,2013,Week,30,6.15,198,03/11/2013 - 03/17/2013
Alley Light Out,3/4/2013,3,2013,Week,30,6.7,196,03/04/2013 - 03/10/2013
Alley Light Out,2/25/2013,2,2013,Week,30,10.57,267,02/25/2013 - 03/03/2013
Alley Light Out,2/18/2013,2,2013,Week,30,7.48,144,02/18/2013 - 02/24/2013
Alley Light Out,2/11/2013,2,2013,Week,30,7.37,182,02/11/2013 - 02/17/2013
Alley Light Out,2/4/2013,2,2013,Week,30,8.86,102,02/04/2013 - 02/10/2013
Alley Light Out,1/28/2013,1,2013,Week,30,5.25,127,01/28/2013 - 02/03/2013
Alley Light Out,1/21/2013,1,2013,Week,30,4.66,137,01/21/2013 - 01/27/2013
Alley Light Out,1/14/2013,1,2013,Week,30,4.31,197,01/14/2013 - 01/20/2013
Alley Light Out,1/7/2013,1,2013,Week,30,9.84,338,01/07/2013 - 01/13/2013
Alley Light Out,12/31/2012,12,2012,Week,30,12.76,241,12/31/2012 - 01/06/2013
Alley Light Out,12/24/2012,12,2012,Week,30,6.9,87,12/24/2012 - 12/30/2012
Alley Light Out,12/17/2012,12,2012,Week,30,13.95,255,12/17/2012 - 12/23/2012
Alley Light Out,12/10/2012,12,2012,Week,30,14.78,299,12/10/2012 - 12/16/2012
Alley Light Out,12/3/2012,12,2012,Week,30,15.98,273,12/03/2012 - 12/09/2012
Alley Light Out,11/26/2012,11,2012,Week,30,14.96,331,11/26/2012 - 12/02/2012
Alley Light Out,11/19/2012,11,2012,Week,30,9.15,105,11/19/2012 - 11/25/2012
Alley Light Out,11/12/2012,11,2012,Week,30,14.33,129,11/12/2012 - 11/18/2012
Alley Light Out,11/5/2012,11,2012,Week,30,17.15,640,11/05/2012 - 11/11/2012
Alley Light Out,10/29/2012,10,2012,Week,30,17.33,227,10/29/2012 - 11/04/2012
Alley Light Out,10/22/2012,10,2012,Week,30,18.25,246,10/22/2012 - 10/28/2012
Alley Light Out,10/15/2012,10,2012,Week,30,18.75,281,10/15/2012 - 10/21/2012
Alley Light Out,10/8/2012,10,2012,Week,30,25.37,415,10/08/2012 - 10/14/2012
Alley Light Out,10/1/2012,10,2012,Week,30,25.63,301,10/01/2012 - 10/07/2012
Alley Light Out,9/24/2012,9,2012,Week,30,20.39,271,09/24/2012 - 09/30/2012
Alley Light Out,9/17/2012,9,2012,Week,30,25.25,349,09/17/2012 - 09/23/2012
Alley Light Out,9/10/2012,9,2012,Week,30,22.71,326,09/10/2012 - 09/16/2012
Alley Light Out,9/3/2012,9,2012,Week,30,26.39,146,09/03/2012 - 09/09/2012
Alley Light Out,8/27/2012,8,2012,Week,30,17.68,195,08/27/2012 - 09/02/2012
Alley Light Out,8/20/2012,8,2012,Week,30,24.79,252,08/20/2012 - 08/26/2012
Alley Light Out,8/13/2012,8,2012,Week,30,20.33,246,08/13/2012 - 08/19/2012
Alley Light Out,8/6/2012,8,2012,Week,30,21,195,08/06/2012 - 08/12/2012
Alley Light Out,7/30/2012,7,2012,Week,30,14.28,132,07/30/2012 - 08/05/2012
Alley Light Out,7/23/2012,7,2012,Week,30,16.27,159,07/23/2012 - 07/29/2012
Alley Light Out,7/16/2012,7,2012,Week,30,19.02,270,07/16/2012 - 07/22/2012
Alley Light Out,7/9/2012,7,2012,Week,30,12.08,186,07/09/2012 - 07/15/2012
Alley Light Out,7/2/2012,7,2012,Week,30,14.69,66,07/02/2012 - 07/08/2012
Alley Light Out,6/25/2012,6,2012,Week,30,8.87,160,06/25/2012 - 07/01/2012
Alley Light Out,6/18/2012,6,2012,Week,30,8.43,123,06/18/2012 - 06/24/2012
Alley Light Out,6/11/2012,6,2012,Week,30,10.69,229,06/11/2012 - 06/17/2012
Alley Light Out,6/4/2012,6,2012,Week,30,14.84,272,06/04/2012 - 06/10/2012
Alley Light Out,5/28/2012,5,2012,Week,30,17.48,182,05/28/2012 - 06/03/2012
Alley Light Out,5/21/2012,5,2012,Week,30,15.31,273,05/21/2012 - 05/27/2012
Alley Light Out,5/14/2012,5,2012,Week,30,19.27,201,05/14/2012 - 05/20/2012
Alley Light Out,5/7/2012,5,2012,Week,30,26.02,225,05/07/2012 - 05/13/2012
Alley Light Out,4/30/2012,4,2012,Week,30,64.13,416,04/30/2012 - 05/06/2012
Alley Light Out,4/23/2012,4,2012,Week,30,79.81,493,04/23/2012 - 04/29/2012
Alley Light Out,4/16/2012,4,2012,Week,30,78.06,531,04/16/2012 - 04/22/2012
Alley Light Out,4/9/2012,4,2012,Week,30,89.31,441,04/09/2012 - 04/15/2012
Alley Light Out,4/2/2012,4,2012,Week,30,84.76,491,04/02/2012 - 04/08/2012
Alley Light Out,3/26/2012,3,2012,Week,30,89.02,575,03/26/2012 - 04/01/2012
Alley Light Out,3/19/2012,3,2012,Week,30,65.17,504,03/19/2012 - 03/25/2012
Alley Light Out,3/12/2012,3,2012,Week,30,72.32,384,03/12/2012 - 03/18/2012
Alley Light Out,3/5/2012,3,2012,Week,30,65.96,238,03/05/2012 - 03/11/2012
Alley Light Out,2/27/2012,2,2012,Week,30,87.45,475,02/27/2012 - 03/04/2012
Alley Light Out,2/20/2012,2,2012,Week,30,81.6,371,02/20/2012 - 02/26/2012
Alley Light Out,2/13/2012,2,2012,Week,30,76.52,567,02/13/2012 - 02/19/2012
Alley Light Out,2/6/2012,2,2012,Week,30,81.95,499,02/06/2012 - 02/12/2012
Alley Light Out,1/30/2012,1,2012,Week,30,94.5,676,01/30/2012 - 02/05/2012
Alley Light Out,1/23/2012,1,2012,Week,30,84.77,674,01/23/2012 - 01/29/2012
Alley Light Out,1/16/2012,1,2012,Week,30,99.89,635,01/16/2012 - 01/22/2012
Alley Light Out,1/9/2012,1,2012,Week,30,95.45,649,01/09/2012 - 01/15/2012
Alley Light Out,1/2/2012,1,2012,Week,30,89.63,392,01/02/2012 - 01/08/2012
Alley Light Out,12/26/2011,12,2011,Week,30,73.85,145,12/26/2011 - 01/01/2012
Alley Light Out,12/19/2011,12,2011,Week,30,76.05,301,12/19/2011 - 12/25/2011
Alley Light Out,12/12/2011,12,2011,Week,30,68.17,360,12/12/2011 - 12/18/2011
Alley Light Out,12/5/2011,12,2011,Week,30,81.83,584,12/05/2011 - 12/11/2011
Alley Light Out,11/28/2011,11,2011,Week,30,70.81,245,11/28/2011 - 12/04/2011
Alley Light Out,11/21/2011,11,2011,Week,30,56.5,390,11/21/2011 - 11/27/2011
Alley Light Out,11/14/2011,11,2011,Week,30,36.31,352,11/14/2011 - 11/20/2011
Alley Light Out,11/7/2011,11,2011,Week,30,30.42,356,11/07/2011 - 11/13/2011
Alley Light Out,10/31/2011,10,2011,Week,30,47.27,191,10/31/2011 - 11/06/2011
Alley Light Out,10/24/2011,10,2011,Week,30,42.32,146,10/24/2011 - 10/30/2011
Alley Light Out,10/17/2011,10,2011,Week,30,30.48,316,10/17/2011 - 10/23/2011
Alley Light Out,10/10/2011,10,2011,Week,30,25.56,388,10/10/2011 - 10/16/2011
Alley Light Out,10/3/2011,10,2011,Week,30,21.7,471,10/03/2011 - 10/09/2011
Alley Light Out,9/26/2011,9,2011,Week,30,25.28,431,09/26/2011 - 10/02/2011
Alley Light Out,9/19/2011,9,2011,Week,30,14.36,223,09/19/2011 - 09/25/2011
